DT,VPH,TPH,CPU,MEM,IO
1/4/2014 0:00,57535,18134,21.9,44.1,13.1
1/4/2014 1:00,23330,8074,13.2,39.1,11.4
1/4/2014 2:00,4679,1670,19.4,39.6,15.5
1/4/2014 3:00,1089,383,12.2,40.4,17.7
1/4/2014 4:00,6168,2137,17.4,41.9,11.4
1/4/2014 5:00,17781,5792,12.1,43.6,12.8
1/4/2014 6:00,32486,11654,15.4,41.4,15.6
1/4/2014 7:00,49218,17688,22.3,45,13.6
1/4/2014 8:00,90787,32574,27.8,45.8,11.3
1/4/2014 9:00,97153,33258,26.6,48.6,12.9
1/4/2014 10:00,168787,56045,29.4,53.7,11.3
1/4/2014 11:00,149059,53694,28.7,55.2,13.6
1/4/2014 12:00,174629,54759,25.1,54.1,13.5
1/4/2014 13:00,168794,51704,32.3,51.1,9.9
1/4/2014 14:00,127065,43075,28.7,49,15.8
1/4/2014 15:00,135015,45213,26.8,55.9,17.1
1/4/2014 16:00,118962,40874,32.2,51.5,10.5
1/4/2014 17:00,131176,42305,24.5,48.3,16.3
1/4/2014 18:00,123941,41588,28.4,51,12.7
1/4/2014 19:00,102262,35741,30,49.9,10.4
1/4/2014 20:00,95038,32909,23.9,50.4,14.3
1/4/2014 21:00,66292,22522,22.6,45.4,17.2
1/4/2014 22:00,84949,26991,18.2,55.6,16.5
1/4/2014 23:00,64133,22271,20.4,45.5,14.7
1/5/2014 0:00,47411,17233,19.4,42.3,15
1/5/2014 1:00,20316,7294,19.5,46.8,16.4
1/5/2014 2:00,3706,1365,12.6,38.8,12.9
1/5/2014 3:00,1231,415,14.6,44.4,14.2
1/5/2014 4:00,1671,537,9.1,43.1,14.8
1/5/2014 5:00,1269,441,21.5,42.8,11.8
1/5/2014 6:00,12981,4920,17.6,41,16
1/5/2014 7:00,19690,6289,17.6,42.3,16.6
1/5/2014 8:00,46724,16021,20.9,47.6,17.4
1/5/2014 9:00,93135,31661,17.8,44.6,14
1/5/2014 10:00,128202,42867,24.5,46.9,12.8
1/5/2014 11:00,130490,43068,26.5,50.5,14.9
1/5/2014 12:00,162360,57451,28.2,57.9,16.5
1/5/2014 13:00,156971,53971,28.4,56.8,13.9
1/5/2014 14:00,97288,34488,23.6,49.5,13.6
1/5/2014 15:00,132449,47606,27.4,51.4,15
1/5/2014 16:00,97664,33623,24.4,50.5,14.5
1/5/2014 17:00,127214,43046,25.2,51.4,12.7
1/5/2014 18:00,117407,41121,21,54.5,11.2
1/5/2014 19:00,116644,40854,24.7,55.7,15.8
1/5/2014 20:00,108970,39135,28.7,55.7,12.1
1/5/2014 21:00,147070,43703,20.2,52.9,18.1
1/5/2014 22:00,110880,34323,20,48.1,12.9
1/5/2014 23:00,83487,28078,19.7,43.7,17.6
1/6/2014 0:00,48611,16598,22.6,49.2,12.3
1/6/2014 1:00,24614,8758,18.5,44.6,14.1
1/6/2014 2:00,4559,1436,19.6,45.6,13.7
1/6/2014 3:00,1146,417,12.5,40.6,11.5
1/6/2014 4:00,8156,2462,18.8,45.6,14.2
1/6/2014 5:00,20796,6831,24,40.3,13
1/6/2014 6:00,33220,12436,21.2,44.7,12.4
1/6/2014 7:00,62974,21677,16.3,43.9,11.8
1/6/2014 8:00,116085,38872,24.5,53.4,16.2
1/6/2014 9:00,187372,55453,26,58,15.4
1/6/2014 10:00,203903,66652,29.6,58.1,14.3
1/6/2014 11:00,212694,72586,30.9,63.6,11.8
1/6/2014 12:00,207451,70437,33.3,63.9,15.4
1/6/2014 13:00,209460,68504,39.4,59.6,13.7
1/6/2014 14:00,201746,74214,31.7,65.5,10.7
1/6/2014 15:00,188486,69331,30.8,58.1,11.7
1/6/2014 16:00,185158,57783,30.8,58.7,13.2
1/6/2014 17:00,139264,50108,27.2,52.5,12.3
1/6/2014 18:00,191410,63119,36.6,62.1,15.1
1/6/2014 19:00,141073,46763,26,56.7,15.1
1/6/2014 20:00,194840,68885,29.9,57.6,12
1/6/2014 21:00,203150,74558,29.8,64.6,15.3
1/6/2014 22:00,192502,58587,34.4,59,12.6
1/6/2014 23:00,93071,30147,24.7,49.7,12.9
1/7/2014 0:00,41478,13921,14.6,41.5,12.3
1/7/2014 1:00,24482,8686,13.4,43.3,13.4
1/7/2014 2:00,3427,1121,19.9,44.8,15.8
1/7/2014 3:00,1525,474,13.8,38.6,14.1
1/7/2014 4:00,3700,1306,19.6,44.1,17.6
1/7/2014 5:00,15598,5274,12.3,44.8,14.5
1/7/2014 6:00,63101,20135,23.2,48.4,13.4
1/7/2014 7:00,61253,20114,21.4,47.3,16.2
1/7/2014 8:00,80449,25949,21.7,46.9,17.6
1/7/2014 9:00,146715,50464,27.9,54.3,14.7
1/7/2014 10:00,165866,57876,29,50.8,13.2
1/7/2014 11:00,186450,63087,25.6,55.6,10.3
1/7/2014 12:00,206902,69176,27.6,56.6,13.9
1/7/2014 13:00,181349,64937,30.4,60.1,14.5
1/7/2014 14:00,190175,64054,32.4,59.9,11.2
1/7/2014 15:00,119585,38611,25.3,51.8,13.9
1/7/2014 16:00,180944,61438,25.7,59,15.7
1/7/2014 17:00,115296,34436,21.9,50.4,12
1/7/2014 18:00,176417,56820,28.6,56.1,13.3
1/7/2014 19:00,166879,52555,33.5,58.2,14.6
1/7/2014 20:00,140918,52393,28.3,58.4,12.9
1/7/2014 21:00,167255,53954,30.4,59.1,15.4
1/7/2014 22:00,118029,39141,19.3,48.7,14.8
1/7/2014 23:00,90636,28490,19.4,50.4,10.4
1/8/2014 0:00,44134,15377,22.1,45.5,15
1/8/2014 1:00,21829,8115,17.8,41.3,14.6
1/8/2014 2:00,4371,1585,12.7,37.5,11.4
1/8/2014 3:00,1109,347,11.7,41.9,13.7
1/8/2014 4:00,6236,1979,16.4,39.3,11.1
1/8/2014 5:00,14911,5559,13.3,37.9,15.3
1/8/2014 6:00,47508,17363,21.4,42.8,14
1/8/2014 7:00,47083,16809,22.1,43.4,15.8
1/8/2014 8:00,116548,34967,20.8,53.5,14.4
1/8/2014 9:00,143494,47071,23.9,53.7,12.7
1/8/2014 10:00,154384,51884,28.1,54.4,13.6
1/8/2014 11:00,192540,62554,30.2,60.7,15.3
1/8/2014 12:00,126691,44212,31,54.7,16.3
1/8/2014 13:00,160892,51441,26.5,54.9,12.9
1/8/2014 14:00,204955,61808,31.7,66.1,14.8
1/8/2014 15:00,146697,48867,27.9,59.3,11.9
1/8/2014 16:00,154544,50987,34,55.8,13.9
1/8/2014 17:00,126811,42747,29.4,50.1,14
1/8/2014 18:00,151435,54239,23.7,58.1,12.2
1/8/2014 19:00,141633,50941,29.8,54.8,13.1
1/8/2014 20:00,183505,54966,29.5,59,14.7
1/8/2014 21:00,154639,50147,30.9,55.8,16.9
1/8/2014 22:00,151593,47591,26.9,54,17.9
1/8/2014 23:00,70776,24449,24.7,43.1,19
1/9/2014 0:00,48501,15776,15.2,43.5,13.4
1/9/2014 1:00,24671,8701,17.6,43.6,17.5
1/9/2014 2:00,5153,1614,12.9,34.8,10.5
1/9/2014 3:00,945,310,14.5,41.6,11.2
1/9/2014 4:00,4826,1560,15.5,43.8,14
1/9/2014 5:00,16877,5614,13.2,38.4,10.6
1/9/2014 6:00,38784,12505,14.9,44.3,11.2
1/9/2014 7:00,65447,23775,19.5,46.3,14.9
1/9/2014 8:00,77777,30356,24.9,52.9,13.1
1/9/2014 9:00,143010,41842,27.3,49.4,13.9
1/9/2014 10:00,158016,49321,28.6,57.3,11.4
1/9/2014 11:00,150557,52080,31.3,55.9,15.4
1/9/2014 12:00,226016,71799,32.2,58.8,10.2
1/9/2014 13:00,135787,45908,29.3,54.4,13.6
1/9/2014 14:00,146163,55650,29.2,55.6,15.1
1/9/2014 15:00,127607,45376,30.4,59.8,15.6
1/9/2014 16:00,102670,36126,28,51.2,13.9
1/9/2014 17:00,134250,45902,19.9,48.2,13.4
1/9/2014 18:00,153977,50969,27.5,55.2,15.8
1/9/2014 19:00,159303,49599,29.8,55.1,14.5
1/9/2014 20:00,153159,49886,30.5,52.8,15
1/9/2014 21:00,131929,42021,29.3,54.3,9.3
1/9/2014 22:00,143484,48330,27.9,60.2,12.6
1/9/2014 23:00,85650,25432,20.2,45.6,11.5
1/10/2014 0:00,52781,15932,18.6,48,12.4
1/10/2014 1:00,25186,7934,18.6,44.9,11
1/10/2014 2:00,4902,1793,17.8,38.3,15.2
1/10/2014 3:00,1119,387,13.8,43,12.2
1/10/2014 4:00,5470,1814,11.7,37.9,15.3
1/10/2014 5:00,16423,5498,11.5,42.9,13.8
1/10/2014 6:00,25014,8789,22.9,46.8,14.4
1/10/2014 7:00,33961,10817,17.8,45,16.5
1/10/2014 8:00,77419,25896,19.1,49.3,14.6
1/10/2014 9:00,145717,47722,29.3,59.8,14.5
1/10/2014 10:00,167792,54194,27.8,58.9,13.3
1/10/2014 11:00,125013,38436,29.4,52.8,15.3
1/10/2014 12:00,167061,57353,31,52.6,12.1
1/10/2014 13:00,159055,52629,29.2,59,12.6
1/10/2014 14:00,157833,46504,26.1,52.3,14.5
1/10/2014 15:00,176165,54900,28.2,52.9,12.4
1/10/2014 16:00,136385,45331,19.8,53.9,13.7
1/10/2014 17:00,140133,45218,25.5,54.3,12.9
1/10/2014 18:00,189129,56493,27.9,57.7,16.4
1/10/2014 19:00,111862,38536,24.4,52.1,13.9
1/10/2014 20:00,141991,48724,27.3,49.6,14.2
1/10/2014 21:00,159258,48441,23.2,49.4,14.6
1/10/2014 22:00,112157,38859,21.1,51.5,14
1/10/2014 23:00,83649,28778,21.9,54.6,10.4
1/11/2014 0:00,51109,16788,16.6,45.6,11.7
1/11/2014 1:00,22130,7707,16.2,45.4,11.5
1/11/2014 2:00,2490,868,19.2,37.9,12
1/11/2014 3:00,628,213,18.7,40.3,13
1/11/2014 4:00,5085,1525,14.4,39.8,13.7
1/11/2014 5:00,13789,4752,23.2,38.8,14.8
1/11/2014 6:00,30280,9559,23.3,41.8,18.3
1/11/2014 7:00,53731,17665,18.8,46.9,12.5
1/11/2014 8:00,68295,21386,23.6,43.2,11.3
1/11/2014 9:00,93527,33043,23.2,51.8,17.2
1/11/2014 10:00,172005,54726,33.8,54,11.7
1/11/2014 11:00,128962,44946,25.1,47.5,16.5
1/11/2014 12:00,199080,61592,29.2,55.6,16.2
1/11/2014 13:00,81324,28642,25.9,43.5,13.7
1/11/2014 14:00,108468,37410,19.7,50.9,12.3
1/11/2014 15:00,122339,43244,23,53.9,17.5
1/11/2014 16:00,87982,27040,28.8,49.1,12.3
1/11/2014 17:00,56347,22308,19.2,41.1,11.9
1/11/2014 18:00,130372,42259,22.7,50.9,10.3
1/11/2014 19:00,61569,21606,22.9,48.4,15.6
1/11/2014 20:00,61233,21587,20.3,46.5,15.5
1/11/2014 21:00,86174,27829,20,45,13.2
1/11/2014 22:00,71588,22544,23,48.6,12.2
1/11/2014 23:00,56243,18799,21.2,45.3,14.4
1/12/2014 0:00,42092,13963,14.6,43.4,16.6
1/12/2014 1:00,20578,6446,22.2,40.1,12.2
1/12/2014 2:00,3515,1199,14,41.8,16.3
1/12/2014 3:00,1216,442,12.6,41.5,14.9
1/12/2014 4:00,942,292,20,44.2,14.8
1/12/2014 5:00,7954,2630,15.8,39.8,14.4
1/12/2014 6:00,26229,8718,16.6,42.4,12.5
1/12/2014 7:00,297,101,8.6,42.7,11.3
1/12/2014 8:00,45292,16008,13.9,45.7,13.6
1/12/2014 9:00,40227,12296,19.7,39,14.3
1/12/2014 10:00,70961,24461,19.4,48.8,12.3
1/12/2014 11:00,95780,29945,23.8,49.9,11.4
1/12/2014 12:00,117072,42201,28,51.9,14.7
1/12/2014 13:00,141612,45664,27.5,50.7,16.1
1/12/2014 14:00,113570,39878,23.1,51.5,13.8
1/12/2014 15:00,92534,28911,21.3,50.1,11.7
1/12/2014 16:00,140327,44792,28.1,52.8,15
1/12/2014 17:00,116678,39404,29.1,50.9,16.3
1/12/2014 18:00,106103,37041,26.3,44.8,15
1/12/2014 19:00,101044,37532,21.4,57.4,13.3
1/12/2014 20:00,130367,43130,25.5,50.9,12.6
1/12/2014 21:00,102652,31341,28.7,51.9,17.2
1/12/2014 22:00,93569,32059,19.4,48.7,15.3
1/12/2014 23:00,71449,24246,18.4,46.4,12.3
1/13/2014 0:00,43473,13622,22.5,40.2,12.7
1/13/2014 1:00,23011,7041,17.6,39,13.2
1/13/2014 2:00,3857,1213,17.1,46.3,12.3
1/13/2014 3:00,837,275,13.7,34.5,13.2
1/13/2014 4:00,4114,1310,20.3,41.8,14.2
1/13/2014 5:00,14409,4442,17.1,46.1,11.9
1/13/2014 6:00,22788,7244,16.5,41.3,15.6
1/13/2014 7:00,48014,16054,19.9,43.4,10.5
1/13/2014 8:00,111306,36533,26.6,49.1,16.4
1/13/2014 9:00,107501,39854,30.6,50.7,14.1
1/13/2014 10:00,160944,52544,29.1,53.7,15.2
1/13/2014 11:00,124611,43245,26.6,51,12.2
1/13/2014 12:00,225832,73212,31.2,63.5,14.3
1/13/2014 13:00,165785,59851,23.7,63.7,15.9
1/13/2014 14:00,174486,56008,36.5,57.6,13.5
1/13/2014 15:00,172405,57124,26.9,56.7,16.1
1/13/2014 16:00,179671,61565,30.7,59.3,13.1
1/13/2014 17:00,152251,53933,25.5,58.9,14.9
1/13/2014 18:00,176409,60796,32.7,61.4,16.5
1/13/2014 19:00,128448,43267,29.2,54.8,14.6
1/13/2014 20:00,167127,55234,34,59.7,15.8
1/13/2014 21:00,213801,63337,33,57.9,11.8
1/13/2014 22:00,120438,40507,24.1,51.7,11.2
1/13/2014 23:00,80593,26820,19.4,48.8,14.5
1/14/2014 0:00,41625,14294,22,45.2,14.8
1/14/2014 1:00,23305,7632,23.9,47.8,10.1
1/14/2014 2:00,2686,863,13.4,39.3,16.7
1/14/2014 3:00,879,290,18.6,40.1,12.8
1/14/2014 4:00,4125,1309,18.9,40.2,11.7
1/14/2014 5:00,15853,5073,15.4,42,13.9
1/14/2014 6:00,25966,7395,14.4,37.8,12.6
1/14/2014 7:00,67809,20658,13.3,42.3,16.2
1/14/2014 8:00,92171,30055,20,47.3,12.5
1/14/2014 9:00,135973,42138,21.6,51,11.2
1/14/2014 10:00,157859,52867,27.2,54.1,13.8
1/14/2014 11:00,148204,50703,27.3,52.5,12
1/14/2014 12:00,156747,53257,32,58.3,15.2
1/14/2014 13:00,118523,42564,33.7,56.4,15
1/14/2014 14:00,142183,47448,30.3,50.9,14.4
1/14/2014 15:00,143422,50649,28.4,52.8,12.8
1/14/2014 16:00,174853,57284,31.8,51.8,12.5
1/14/2014 17:00,120233,44671,26.8,53.9,13.8
1/14/2014 18:00,95842,31709,23.4,51.7,13.9
1/14/2014 19:00,157748,50399,26.9,55.2,11.2
1/14/2014 20:00,139600,42896,25.4,49.7,12.8
1/14/2014 21:00,149867,49951,27.5,60.1,16.1
1/14/2014 22:00,111761,33267,25.1,52.4,14.2
1/14/2014 23:00,55808,20059,19.7,51.4,13.1
1/15/2014 0:00,50277,16616,20.6,40.9,12.9
1/15/2014 1:00,22074,6920,21.5,41.6,12.8
1/15/2014 2:00,1603,533,21.2,42.9,9.8
1/15/2014 3:00,861,317,14.1,35.2,7.5
1/15/2014 4:00,4088,1438,15.5,40.5,14.3
1/15/2014 5:00,15886,4948,15.3,41.3,11.9
1/15/2014 6:00,33995,11981,17.5,38.4,13.6
1/15/2014 7:00,71835,22261,26.8,45.2,12.4
1/15/2014 8:00,48642,13873,19.3,41,13.1
1/15/2014 9:00,88605,28989,15.3,49.7,17.6
1/15/2014 10:00,127891,41193,24,50.9,14.3
1/15/2014 11:00,198983,56186,29.6,53.1,13
1/15/2014 12:00,152092,51070,26.2,49.9,15
1/15/2014 13:00,130530,45452,26.6,57.3,12.5
1/15/2014 14:00,160070,56171,25.1,55.2,17.6
1/15/2014 15:00,113395,39344,25.8,50.9,9.6
1/15/2014 16:00,121367,42999,24.7,50.4,15.6
1/15/2014 17:00,106374,38106,26.4,48.4,15.3
1/15/2014 18:00,153959,49600,26.7,56.3,12.9
1/15/2014 19:00,134396,43704,28.2,56.6,13.5
1/15/2014 20:00,177713,55178,28.3,63.6,11.6
1/15/2014 21:00,164906,54180,28.4,56.2,14.5
1/15/2014 22:00,127517,38177,21.4,50,12.8
1/15/2014 23:00,53169,17249,22.1,49.7,11.2
1/16/2014 0:00,34656,11753,19.2,46.3,12.8
1/16/2014 1:00,20582,7606,18,45.7,14.7
1/16/2014 2:00,7452,2409,20.9,43.1,13.7
1/16/2014 3:00,679,238,12.1,38.8,18.2
1/16/2014 4:00,5668,1863,17.6,40,11.8
1/16/2014 5:00,15834,5118,14.1,38.4,14.3
1/16/2014 6:00,39324,12130,17.9,48,17.9
1/16/2014 7:00,46068,15586,15.7,42.2,13.2
1/16/2014 8:00,160102,46691,26.4,54.5,15.8
1/16/2014 9:00,141407,42596,24.7,51.9,10
1/16/2014 10:00,151815,50105,29.6,58.6,15
1/16/2014 11:00,142956,56266,30.5,54.2,14.8
1/16/2014 12:00,168902,55776,31,53.3,12.8
1/16/2014 13:00,164908,49913,27,50.3,11.6
1/16/2014 14:00,151042,48190,30.7,57.9,14.4
1/16/2014 15:00,145123,47303,27.7,57.2,16.6
1/16/2014 16:00,154798,50311,28.1,53.1,14.5
1/16/2014 17:00,105599,37774,24.8,50.2,11.7
1/16/2014 18:00,123783,43943,25.4,52.4,13
1/16/2014 19:00,119519,49245,28.6,52.2,14.2
1/16/2014 20:00,162601,51159,27.8,55.1,13.6
1/16/2014 21:00,149613,49170,27.4,56.3,12.9
1/16/2014 22:00,132083,41287,22.9,55.3,9.7
1/16/2014 23:00,76188,25147,21.1,48.4,15
1/17/2014 0:00,41568,14957,16.7,46,8.9
1/17/2014 1:00,17523,7058,18.9,46.2,14.5
1/17/2014 2:00,4474,1599,12.3,40.3,14.8
1/17/2014 3:00,834,300,20.3,44.3,14.8
1/17/2014 4:00,5413,1654,16.3,37.6,12.7
1/17/2014 5:00,16170,5119,15,41.7,12.5
1/17/2014 6:00,30628,10999,19.7,42.8,12.1
1/17/2014 7:00,39958,12559,16.1,42.5,12.1
1/17/2014 8:00,86394,30169,18.8,44.5,16
1/17/2014 9:00,104663,33318,27.1,54.8,14.5
1/17/2014 10:00,117880,37865,23.8,51.5,17.3
1/17/2014 11:00,144262,46190,30.5,48.1,11
1/17/2014 12:00,178464,56127,31.4,59.6,13.8
1/17/2014 13:00,127185,43669,25.9,51.7,15.1
1/17/2014 14:00,103429,34863,29.2,50.5,11.4
1/17/2014 15:00,118831,39200,29.6,52.1,15.2
1/17/2014 16:00,102630,35075,32.8,44.8,11.9
1/17/2014 17:00,108188,36724,21.2,49.7,16
1/17/2014 18:00,129686,39057,24.6,52.2,14.5
1/17/2014 19:00,141724,45410,21.2,53.1,8.9
1/17/2014 20:00,153850,46018,22.6,56.3,12.4
1/17/2014 21:00,109829,36605,23.6,49.1,12.1
1/17/2014 22:00,121634,36039,27.9,48.6,8.5
1/17/2014 23:00,70260,21739,21.9,44.5,12.9
1/18/2014 0:00,41741,13647,21.4,42.4,16.8
1/18/2014 1:00,22938,7476,12.8,39.7,13.7
1/18/2014 2:00,4868,1571,13.1,41.2,12.5
1/18/2014 3:00,927,290,10.9,37.1,12.3
1/18/2014 4:00,3901,1337,10.6,39.6,15.1
1/18/2014 5:00,15787,5232,22.8,37.1,12.4
1/18/2014 6:00,4737,1708,21.3,35.2,13.8
1/18/2014 7:00,29832,9390,19.2,45.5,15.2
1/18/2014 8:00,84062,25512,23.8,49.6,15.7
1/18/2014 9:00,90455,30318,19.2,45.2,15.4
1/18/2014 10:00,84901,30294,24.3,44.2,13.5
1/18/2014 11:00,139204,46528,23.2,50.1,14.2
1/18/2014 12:00,131626,43569,30.5,51.7,11
1/18/2014 13:00,136649,44027,25.7,58.7,13.6
1/18/2014 14:00,132320,45141,22.2,58.2,15.6
1/18/2014 15:00,127252,43943,28.3,54.2,12.9
1/18/2014 16:00,98722,32219,27.1,48.1,11.4
1/18/2014 17:00,80661,27920,22.4,45.9,11.3
1/18/2014 18:00,100925,32636,19.3,49.9,14
1/18/2014 19:00,73583,27192,21.1,47.9,14.9
1/18/2014 20:00,84050,28207,21.7,54,12.6
1/18/2014 21:00,47771,15487,20.6,47.4,15.6
1/18/2014 22:00,80041,25184,23.9,45.7,9
1/18/2014 23:00,50712,18943,21.9,43.2,12.5
1/19/2014 0:00,44055,14282,23.5,45,15.5
1/19/2014 1:00,18275,6749,18.5,40.2,14.7
1/19/2014 2:00,5760,1874,13.6,40.7,13.9
1/19/2014 3:00,582,182,8,40,13
1/19/2014 4:00,1318,415,12.6,41,11.3
1/19/2014 5:00,3724,1182,16,38.6,17.2
1/19/2014 6:00,21053,7531,18.6,50.3,14.1
1/19/2014 7:00,5186,1512,11.2,37.8,16.3
1/19/2014 8:00,33992,11375,22.4,49,14.8
1/19/2014 9:00,79910,26569,17.3,51,15.7
1/19/2014 10:00,88848,30889,27,52.5,16.5
1/19/2014 11:00,72489,25146,19,50.9,12.4
1/19/2014 12:00,114673,37163,28.1,48.3,16.8
1/19/2014 13:00,145263,51818,31.4,51.7,15.1
1/19/2014 14:00,140070,46215,25,50.2,16.8
1/19/2014 15:00,93150,32146,30.5,53.8,15.2
1/19/2014 16:00,103583,34822,26.3,51.9,12.7
1/19/2014 17:00,120494,38939,27.2,50.8,14.2
1/19/2014 18:00,81077,28980,26.5,49.2,12.8
1/19/2014 19:00,114003,35980,26,49.8,15.7
1/19/2014 20:00,165058,57418,32.8,58.1,12.4
1/19/2014 21:00,118908,39336,26.1,52.4,14
1/19/2014 22:00,99424,34270,24.5,49.2,13.6
1/19/2014 23:00,86775,24955,17.2,40.3,15.6
1/20/2014 0:00,43266,13181,19.5,47.1,13.6
1/20/2014 1:00,22842,7766,17.9,41.9,15.9
1/20/2014 2:00,4004,1360,16.9,40.3,11.7
1/20/2014 3:00,800,274,15.2,35.8,17.3
1/20/2014 4:00,3556,1231,14.3,43,16.8
1/20/2014 5:00,16465,5604,8.2,37.3,13.1
1/20/2014 6:00,2160,711,20.9,38.8,15.2
1/20/2014 7:00,66759,22423,20.8,40,14
1/20/2014 8:00,71742,24441,29.2,42.2,16.5
1/20/2014 9:00,138541,44097,29.4,53.2,13.8
1/20/2014 10:00,158015,56640,31.5,60.8,15.2
1/20/2014 11:00,159676,49033,33.1,55.6,14.7
1/20/2014 12:00,163027,56115,27.9,57.7,11.4
1/20/2014 13:00,149584,50065,28.1,57.5,13.2
1/20/2014 14:00,171077,56266,31.1,61.1,15.6
1/20/2014 15:00,145477,46743,29.2,54.8,11.8
1/20/2014 16:00,187801,64713,30.9,64.1,16.6
1/20/2014 17:00,153471,55259,27.3,54.7,16
1/20/2014 18:00,152137,56751,28.6,64,12.5
1/20/2014 19:00,165220,56275,24.7,51.2,12.9
1/20/2014 20:00,120625,44519,19.2,52.4,12.5
1/20/2014 21:00,193524,60300,33.4,58.7,13.4
1/20/2014 22:00,130112,43442,20.2,52.3,13.2
1/20/2014 23:00,84073,26812,20,47.9,16.1
1/21/2014 0:00,52759,17792,15.5,47.5,16
1/21/2014 1:00,24386,7775,16.1,41.8,15.1
1/21/2014 2:00,6302,1928,9.7,39.7,10.3
1/21/2014 3:00,1253,377,14.7,38.4,10
1/21/2014 4:00,4776,1621,18,39.7,15.3
1/21/2014 5:00,16233,4892,13.1,37.4,12.4
1/21/2014 6:00,27568,10924,18.4,46.2,11
1/21/2014 7:00,52029,17888,19.2,41.4,13.9
1/21/2014 8:00,60449,20158,20.8,47.7,9.5
1/21/2014 9:00,108721,35683,28.7,48.6,14.2
1/21/2014 10:00,145541,47335,23.2,55.6,13.7
