DT,VPH,ApacheRPH,TPH,CPU,MEM,IO
1/5/2014 3:00,1231,3531,415,4.8,44.8,23.9
1/5/2014 4:00,1671,5096,537,4.4,41.9,34.4
1/5/2014 5:00,1269,3782,441,5.3,44.1,18.8
1/5/2014 6:00,12981,38866,4920,5.2,43.9,28
1/5/2014 7:00,19690,51644,6289,8.7,43.7,22.1
1/5/2014 8:00,46724,144009,16021,11.1,46.7,28.8
1/5/2014 9:00,93135,273615,31661,17.3,46.1,30.9
1/5/2014 10:00,128202,391784,42867,23.7,46.3,30.9
1/5/2014 11:00,130490,398391,43068,22,41.2,19.9
1/5/2014 12:00,162360,490853,57451,26.8,43.6,30.6
1/5/2014 13:00,156971,466938,53971,24.6,45.3,21.8
1/5/2014 14:00,97288,301340,34488,19.4,47.1,28.5
1/5/2014 15:00,132449,403083,47606,23.4,48.6,34.4
1/5/2014 16:00,97664,287276,33623,19.4,44.7,28.9
1/5/2014 17:00,127214,376688,43046,20.6,41.7,21.3
1/5/2014 18:00,117407,362241,41121,19.3,45.1,22.8
1/5/2014 19:00,116644,326600,40854,20,44.1,34.1
1/5/2014 20:00,108970,331508,39135,20.8,43.6,21.3
1/5/2014 21:00,147070,481333,43703,29,46.8,32.5
1/5/2014 22:00,110880,352790,34323,20.9,46.6,31.5
1/5/2014 23:00,83487,246765,28078,15.2,51.2,31.9
1/6/2014 0:00,48611,145696,16598,13.8,47.1,30.3
1/6/2014 1:00,24614,73218,8758,6.3,47.8,26
1/6/2014 2:00,4559,14252,1436,6,40.1,23.3
1/6/2014 3:00,1146,3525,417,2.8,40.3,28.8
1/6/2014 4:00,8156,24947,2462,6.7,43.5,22.9
1/6/2014 5:00,20796,57664,6831,8.6,47.9,23.6
1/6/2014 6:00,33220,100703,12436,10.2,46.6,24.5
1/6/2014 7:00,62974,187589,21677,12.3,48.1,22.5
1/6/2014 8:00,116085,340971,38872,21.9,43.8,30
1/6/2014 9:00,187372,547851,55453,29.1,47.7,29
1/6/2014 10:00,203903,621254,66652,33.3,41.2,16.1
1/6/2014 11:00,212694,623852,72586,30.7,43.5,31.2
1/6/2014 12:00,207451,637148,70437,36.2,43.7,20
1/6/2014 13:00,209460,658734,68504,34.9,44,23.3
1/6/2014 14:00,201746,601884,74214,32.1,44.4,30.3
1/6/2014 15:00,188486,565459,69331,26.8,44.8,37.4
1/6/2014 16:00,185158,564584,57783,31,46.6,29.8
1/6/2014 17:00,139264,427427,50108,26.4,42.8,18.5
1/6/2014 18:00,191410,566033,63119,29.1,46.8,32.3
1/6/2014 19:00,141073,428486,46763,25.1,43.4,28.2
1/6/2014 20:00,194840,590442,68885,29.6,44,20.4
1/6/2014 21:00,203150,633695,74558,33.4,44.4,25.5
1/6/2014 22:00,192502,536476,58587,28.3,47.4,31.4
1/6/2014 23:00,93071,299084,30147,17,41,20.7
1/7/2014 0:00,41478,125781,13921,12.3,45.3,20.7
1/7/2014 1:00,24482,73014,8686,7.6,46.2,30
1/7/2014 2:00,3427,9669,1121,5.8,45.1,27.3
1/7/2014 3:00,1525,4477,474,7.3,46,20.2
1/7/2014 4:00,3700,10772,1306,6.7,45,27.5
1/7/2014 5:00,15598,48048,5274,8.1,43.6,27.3
1/7/2014 6:00,63101,184472,20135,13.6,44,25.6
1/7/2014 7:00,61253,186840,20114,14.5,45.6,20.3
1/7/2014 8:00,80449,231027,25949,17,44.6,9.9
1/7/2014 9:00,146715,447280,50464,24.2,47.6,15.2
1/7/2014 10:00,165866,504915,57876,24.5,43.8,27.7
1/7/2014 11:00,186450,539346,63087,27,43.6,21.3
1/7/2014 12:00,206902,634686,69176,36.3,45.3,29.2
1/7/2014 13:00,181349,544594,64937,30.2,45.1,28.2
1/7/2014 14:00,190175,562950,64054,30.9,45.5,33.9
1/7/2014 15:00,119585,353297,38611,22.4,45.1,27.4
1/7/2014 16:00,180944,551157,61438,27.7,44.9,29.8
1/7/2014 17:00,115296,354395,34436,21.1,42.6,22.8
1/7/2014 18:00,176417,520525,56820,26.3,44.9,19
1/7/2014 19:00,166879,488657,52555,29.7,41.8,34.1
1/7/2014 20:00,140918,411954,52393,22.6,47,20.3
1/7/2014 21:00,167255,520461,53954,28.4,46.7,18.4
1/7/2014 22:00,118029,348560,39141,22.1,46.2,25.2
1/7/2014 23:00,90636,266556,28490,16.4,44.5,32.7
1/8/2014 0:00,44134,127604,15377,9.5,47.2,29.5
1/8/2014 1:00,21829,63045,8115,8.3,45.1,26.8
1/8/2014 2:00,4371,13013,1585,3.3,46.9,20.8
1/8/2014 3:00,1109,3250,347,1.9,44.1,26.3
1/8/2014 4:00,6236,18094,1979,4.3,46.3,28
1/8/2014 5:00,14911,45268,5559,5.9,45.9,33.8
1/8/2014 6:00,47508,153712,17363,12.8,41.2,26.1
1/8/2014 7:00,47083,144832,16809,10.4,43.7,25.8
1/8/2014 8:00,116548,347995,34967,20.7,45.1,28.2
1/8/2014 9:00,143494,410533,47071,24.6,45.7,27.4
1/8/2014 10:00,154384,455087,51884,24.3,43.2,18.2
1/8/2014 11:00,192540,582300,62554,30,50.2,25.4
1/8/2014 12:00,126691,363299,44212,21.6,46.1,15.2
1/8/2014 13:00,160892,459611,51441,25.5,46.6,28
1/8/2014 14:00,204955,631958,61808,34.8,43.5,13.6
1/8/2014 15:00,146697,454457,48867,24.2,42.7,27.2
1/8/2014 16:00,154544,490506,50987,27.5,40.6,23.2
1/8/2014 17:00,126811,389121,42747,22.1,44.2,24.5
1/8/2014 18:00,151435,460639,54239,25.7,44.5,23.1
1/8/2014 19:00,141633,409299,50941,23.1,46.1,24.3
1/8/2014 20:00,183505,535704,54966,30,46.5,30.2
1/8/2014 21:00,154639,471836,50147,28,44.4,14.3
1/8/2014 22:00,151593,457222,47591,25.3,45.1,32.5
1/8/2014 23:00,70776,223132,24449,14.1,43.9,19.4
1/9/2014 0:00,48501,142249,15776,10.8,45.6,24.5
1/9/2014 1:00,24671,71190,8701,8.7,49,24.7
1/9/2014 2:00,5153,15077,1614,7.3,47.5,25.5
1/9/2014 3:00,945,2736,310,7.2,44.8,26.2
1/9/2014 4:00,4826,14339,1560,6.9,48,26.7
1/9/2014 5:00,16877,50586,5614,7.3,41.8,25.8
1/9/2014 6:00,38784,111603,12505,10.2,43.3,24.7
1/9/2014 7:00,65447,206212,23775,14.4,47,25.6
1/9/2014 8:00,77777,228770,30356,15.9,47,33.8
1/9/2014 9:00,143010,446633,41842,23.3,44.4,30.3
1/9/2014 10:00,158016,474169,49321,28.3,43.7,23.6
1/9/2014 11:00,150557,436937,52080,25.1,41.2,21.1
1/9/2014 12:00,226016,657233,71799,35.5,46.1,31
1/9/2014 13:00,135787,413587,45908,19.6,48.5,21.4
1/9/2014 14:00,146163,471541,55650,26.2,48.7,35.2
1/9/2014 15:00,127607,375228,45376,20.7,42.9,32.9
1/9/2014 16:00,102670,300062,36126,18.2,48.6,25.8
1/9/2014 17:00,134250,394216,45902,22.6,44.3,25.7
1/9/2014 18:00,153977,456901,50969,24.4,42.5,25.9
1/9/2014 19:00,159303,464898,49599,25.3,42.1,26.9
1/9/2014 20:00,153159,486194,49886,27.5,45.5,25.3
1/9/2014 21:00,131929,404980,42021,22.4,42.3,24.2
1/9/2014 22:00,143484,457122,48330,23.8,43.1,30
1/9/2014 23:00,85650,253036,25432,13.3,45.7,27.7
1/10/2014 0:00,52781,161723,15932,14.2,43.9,27.4
1/10/2014 1:00,25186,73282,7934,8.9,42.8,16.7
1/10/2014 2:00,4902,14761,1793,6,42.1,23.6
1/10/2014 3:00,1119,3313,387,4.3,44,14.1
1/10/2014 4:00,5470,15468,1814,6.4,40.1,30
1/10/2014 5:00,16423,47681,5498,7.6,46.8,17.2
1/10/2014 6:00,25014,74908,8789,6.7,43.8,29.2
1/10/2014 7:00,33961,100845,10817,8.3,43.1,27.2
1/10/2014 8:00,77419,242782,25896,16,44.7,24
1/10/2014 9:00,145717,445582,47722,24,48.8,21.8
1/10/2014 10:00,167792,525227,54194,27.4,42,26.1
1/10/2014 11:00,125013,369514,38436,20.1,48.5,20.5
1/10/2014 12:00,167061,509139,57353,26.9,44.2,29.3
1/10/2014 13:00,159055,478621,52629,25.2,43.8,27.4
1/10/2014 14:00,157833,468964,46504,27.3,41.9,32.5
1/10/2014 15:00,176165,512845,54900,26.1,45.7,20.3
1/10/2014 16:00,136385,412712,45331,23.5,43.9,23
1/10/2014 17:00,140133,412309,45218,24.8,45.6,24.9
1/10/2014 18:00,189129,540222,56493,29.5,42.6,18.9
1/10/2014 19:00,111862,319111,38536,20.2,49.2,25.4
1/10/2014 20:00,141991,450256,48724,24.9,43,28.5
1/10/2014 21:00,159258,490222,48441,27.4,43.1,25
1/10/2014 22:00,112157,333153,38859,18,43.6,27.6
1/10/2014 23:00,83649,248208,28778,17,48.3,30.7
1/11/2014 0:00,51109,149704,16788,13.3,47.3,16.3
1/11/2014 1:00,22130,65728,7707,7.5,37.8,26.5
1/11/2014 2:00,2490,7764,868,5.4,43.8,32
1/11/2014 3:00,628,1755,213,6.8,46.1,28.5
1/11/2014 4:00,5085,15214,1525,3.7,44.2,18
1/11/2014 5:00,13789,43283,4752,7,47.5,24.1
1/11/2014 6:00,30280,90845,9559,9.8,45.7,28.2
1/11/2014 7:00,53731,170195,17665,13.1,45.9,26.1
1/11/2014 8:00,68295,201197,21386,13.5,45.4,41.2
1/11/2014 9:00,93527,283150,33043,19.5,45.5,23.8
1/11/2014 10:00,172005,503832,54726,26.5,42.4,28.9
1/11/2014 11:00,128962,400253,44946,21.2,43.6,29.6
1/11/2014 12:00,199080,607084,61592,31.8,49.6,27.1
1/11/2014 13:00,81324,243943,28642,16.6,45,20
1/11/2014 14:00,108468,298762,37410,18.2,44.8,20.9
1/11/2014 15:00,122339,367571,43244,20.5,39.9,34.7
1/11/2014 16:00,87982,264602,27040,16.7,43.4,20.7
1/11/2014 17:00,56347,179748,22308,14.9,43.4,24.7
1/11/2014 18:00,130372,391574,42259,24,42.3,25.2
1/11/2014 19:00,61569,189313,21606,14.7,47.2,25.9
1/11/2014 20:00,61233,190305,21587,15.3,41.2,31.6
1/11/2014 21:00,86174,274133,27829,17.5,45,25.1
1/11/2014 22:00,71588,230364,22544,15.5,45.7,24.2
1/11/2014 23:00,56243,165420,18799,11.5,45.8,16.3
1/12/2014 0:00,42092,125035,13963,10.5,41.7,26.6
1/12/2014 1:00,20578,64352,6446,7.9,46.8,31.9
1/12/2014 2:00,3515,10406,1199,5.8,44.8,21.1
1/12/2014 3:00,1216,3720,442,4.5,43.2,16.1
1/12/2014 4:00,942,2751,292,5.4,45.8,29.6
1/12/2014 5:00,7954,24348,2630,6.4,44.8,19.7
1/12/2014 6:00,26229,78320,8718,7.7,39.3,22.9
1/12/2014 7:00,297,934,101,3.9,44.1,30.6
1/12/2014 8:00,45292,136557,16008,10,45.2,25.4
1/12/2014 9:00,40227,128668,12296,9.3,48.9,32
1/12/2014 10:00,70961,200660,24461,12.9,43.4,33.9
1/12/2014 11:00,95780,293034,29945,18.6,44.6,33.5
1/12/2014 12:00,117072,344060,42201,20.6,44.1,27.1
1/12/2014 13:00,141612,424524,45664,23.3,45.7,24.7
1/12/2014 14:00,113570,349217,39878,16.4,46.8,23.9
1/12/2014 15:00,92534,273707,28911,16.6,45.5,26.6
1/12/2014 16:00,140327,438911,44792,25.9,45.6,30.7
1/12/2014 17:00,116678,343976,39404,17.3,42.8,23.6
1/12/2014 18:00,106103,316764,37041,18.7,43.5,32.1
1/12/2014 19:00,101044,313272,37532,20.5,42.5,33.1
1/12/2014 20:00,130367,383111,43130,20.9,47.4,19.2
1/12/2014 21:00,102652,308413,31341,18.9,45.3,26.5
1/12/2014 22:00,93569,272128,32059,15.6,46.7,22.3
1/12/2014 23:00,71449,207120,24246,12.6,45.7,26.4
1/13/2014 0:00,43473,132817,13622,9,41.7,28
1/13/2014 1:00,23011,65682,7041,7.3,44.6,24.7
1/13/2014 2:00,3857,11496,1213,5.8,44,26.4
1/13/2014 3:00,837,2483,275,5.2,46.3,15.3
1/13/2014 4:00,4114,12842,1310,5.8,45.4,29
1/13/2014 5:00,14409,40971,4442,6.8,45.2,17.9
1/13/2014 6:00,22788,67740,7244,4.6,48.5,20.5
1/13/2014 7:00,48014,140068,16054,12.5,45.4,38.3
1/13/2014 8:00,111306,332122,36533,21.5,43.9,26.8
1/13/2014 9:00,107501,330635,39854,20.1,47.8,25.6
1/13/2014 10:00,160944,489537,52544,26.3,46.8,30.2
1/13/2014 11:00,124611,390952,43245,22.8,45.3,37.9
1/13/2014 12:00,225832,683421,73212,36.9,44.5,28.6
1/13/2014 13:00,165785,486120,59851,25.9,46,14
1/13/2014 14:00,174486,511404,56008,26.4,46.8,23.7
1/13/2014 15:00,172405,525736,57124,28.3,43.9,21.2
1/13/2014 16:00,179671,518392,61565,28.8,49.8,19.6
1/13/2014 17:00,152251,473808,53933,26.3,45.9,31.2
1/13/2014 18:00,176409,498308,60796,26.3,45.3,43
1/13/2014 19:00,128448,359337,43267,20,44.1,10
1/13/2014 20:00,167127,508831,55234,27.7,45,32
1/13/2014 21:00,213801,652399,63337,34.9,45.8,29.4
1/13/2014 22:00,120438,373441,40507,20.4,46.2,24.1
1/13/2014 23:00,80593,241189,26820,17.8,44.2,28.7
1/14/2014 0:00,41625,126442,14294,10,44.1,24.9
1/14/2014 1:00,23305,68687,7632,8.5,42.5,29.2
1/14/2014 2:00,2686,8024,863,3.7,44.5,25.5
1/14/2014 3:00,879,2704,290,4.1,45.1,34.7
1/14/2014 4:00,4125,12797,1309,7,44.3,18.9
1/14/2014 5:00,15853,48011,5073,5.8,45.1,27.3
1/14/2014 6:00,25966,76700,7395,7.2,42.3,27.5
1/14/2014 7:00,67809,204097,20658,12.6,42.3,24.2
1/14/2014 8:00,92171,261082,30055,15.4,43.9,24.2
1/14/2014 9:00,135973,399259,42138,23.1,44.6,32.8
1/14/2014 10:00,157859,464331,52867,24.5,43.1,26.7
1/14/2014 11:00,148204,413739,50703,20.5,48.4,35
1/14/2014 12:00,156747,488226,53257,26.6,43.7,25.1
1/14/2014 13:00,118523,346786,42564,20.9,39.1,24.8
1/14/2014 14:00,142183,431446,47448,25.5,46.8,33.6
1/14/2014 15:00,143422,408608,50649,24.6,47.3,18.3
1/14/2014 16:00,174853,518363,57284,26.9,44.7,24.1
1/14/2014 17:00,120233,343160,44671,20.6,46.5,15.5
1/14/2014 18:00,95842,275005,31709,15.1,43,29
1/14/2014 19:00,157748,491076,50399,28.1,46,30.2
1/14/2014 20:00,139600,457102,42896,28.4,42.5,30.6
1/14/2014 21:00,149867,451217,49951,23.9,49.4,31.3
1/14/2014 22:00,111761,314434,33267,19,40.3,32.4
1/14/2014 23:00,55808,163141,20059,10.7,42.9,25.9
1/15/2014 0:00,50277,144249,16616,11,46.2,34.7
1/15/2014 1:00,22074,64888,6920,8.2,42.5,22.4
1/15/2014 2:00,1603,4763,533,4.9,42.5,20.1
1/15/2014 3:00,861,2576,317,4.1,44.3,24.1
1/15/2014 4:00,4088,12817,1438,3.3,44.4,32.4
1/15/2014 5:00,15886,48211,4948,8.8,45.4,28.6
1/15/2014 6:00,33995,98019,11981,9.6,44.2,28.5
1/15/2014 7:00,71835,216203,22261,15.1,43.4,25.2
1/15/2014 8:00,48642,146233,13873,11.2,42.4,15.8
1/15/2014 9:00,88605,268771,28989,14.7,45,19.3
1/15/2014 10:00,127891,368981,41193,20.4,44.3,24.1
1/15/2014 11:00,198983,635166,56186,34.4,43.5,34.4
1/15/2014 12:00,152092,471521,51070,27.8,45.1,30.1
1/15/2014 13:00,130530,379011,45452,22.8,45.3,28.4
1/15/2014 14:00,160070,494318,56171,25.9,43.2,28.2
1/15/2014 15:00,113395,344083,39344,19.1,46.1,21.3
1/15/2014 16:00,121367,362517,42999,20.7,44,18.7
1/15/2014 17:00,106374,322260,38106,20.4,45.4,34.2
1/15/2014 18:00,153959,461476,49600,24.5,45.6,25.9
1/15/2014 19:00,134396,430493,43704,23,43.1,25
1/15/2014 20:00,177713,529666,55178,28.8,42,27
1/15/2014 21:00,164906,476130,54180,27.2,47.9,27.6
1/15/2014 22:00,127517,363384,38177,22.8,47.8,23.8
1/15/2014 23:00,53169,154358,17249,11.9,42.9,25.1
1/16/2014 0:00,34656,106082,11753,8.4,47.1,25.6
1/16/2014 1:00,20582,60470,7606,5.9,43.7,24.7
1/16/2014 2:00,7452,20558,2409,5.3,44,23.2
1/16/2014 3:00,679,1976,238,4.3,44.6,23
1/16/2014 4:00,5668,17166,1863,6.2,45.5,26.6
1/16/2014 5:00,15834,47709,5118,7.1,40.3,29.8
1/16/2014 6:00,39324,109584,12130,11.1,44,30.4
1/16/2014 7:00,46068,141868,15586,12.3,48.6,25.7
1/16/2014 8:00,160102,482482,46691,27,45.6,25.2
1/16/2014 9:00,141407,419022,42596,23.1,46.1,26.8
1/16/2014 10:00,151815,431498,50105,24.3,44.2,23.1
1/16/2014 11:00,142956,397703,56266,25.5,46.6,28.2
1/16/2014 12:00,168902,496569,55776,27.5,42.7,32
1/16/2014 13:00,164908,493134,49913,29.6,43.3,23.9
1/16/2014 14:00,151042,444519,48190,22.5,47.6,23
1/16/2014 15:00,145123,409580,47303,23,44.5,34.1
1/16/2014 16:00,154798,478133,50311,25.8,43,23.1
1/16/2014 17:00,105599,295059,37774,16,44.1,21.3
1/16/2014 18:00,123783,376181,43943,22.8,45,31.2
1/16/2014 19:00,119519,359999,49245,21.3,45.3,21.3
1/16/2014 20:00,162601,495890,51159,27.3,45.4,25.3
1/16/2014 21:00,149613,453865,49170,25.5,43.6,24
1/16/2014 22:00,132083,401454,41287,20.1,44.6,35.5
1/16/2014 23:00,76188,231423,25147,15.3,43.6,29
1/17/2014 0:00,41568,128666,14957,11.7,46.1,28.2
1/17/2014 1:00,17523,53516,7058,5,45.7,35.4
1/17/2014 2:00,4474,14089,1599,6.2,45.5,20.3
1/17/2014 3:00,834,2439,300,3.9,46.8,28.4
1/17/2014 4:00,5413,14965,1654,5.7,44.1,29.3
1/17/2014 5:00,16170,50788,5119,8,48,28.2
1/17/2014 6:00,30628,95847,10999,8.5,44.5,21.5
1/17/2014 7:00,39958,115702,12559,9.9,43.6,30
1/17/2014 8:00,86394,253051,30169,16.4,46.5,21
1/17/2014 9:00,104663,314573,33318,17.5,44.5,24.1
1/17/2014 10:00,117880,361398,37865,19.8,42.2,29.1
1/17/2014 11:00,144262,422801,46190,22.9,42.5,31.4
1/17/2014 12:00,178464,531815,56127,27.1,43,25.2
1/17/2014 13:00,127185,387890,43669,23.7,46.6,30.7
1/17/2014 14:00,103429,304430,34863,18.4,48.2,25.2
1/17/2014 15:00,118831,357271,39200,19.2,45.7,21.7
1/17/2014 16:00,102630,307365,35075,20.5,47.8,33.8
1/17/2014 17:00,108188,313373,36724,20.3,43.8,27.8
1/17/2014 18:00,129686,389544,39057,21.9,46.9,25.4
1/17/2014 19:00,141724,417396,45410,22.9,43.7,27.5
1/17/2014 20:00,153850,473803,46018,26.4,42.8,25.5
1/17/2014 21:00,109829,361633,36605,22.3,46,25.1
1/17/2014 22:00,121634,342337,36039,22.1,41.6,23.9
1/17/2014 23:00,70260,201548,21739,16.3,42.8,23.2
1/18/2014 0:00,41741,120134,13647,11.1,44.3,27.1
1/18/2014 1:00,22938,66485,7476,10.1,43,24.2
1/18/2014 2:00,4868,13223,1571,5.8,40.9,15.3
1/18/2014 3:00,927,2755,290,5.8,44.3,30.4
1/18/2014 4:00,3901,12217,1337,3.7,47.3,25.9
1/18/2014 5:00,15787,45910,5232,5.6,41.1,26.4
1/18/2014 6:00,4737,14069,1708,7,43.7,25.6
1/18/2014 7:00,29832,87197,9390,9.3,44.7,19.1
1/18/2014 8:00,84062,262358,25512,16.2,41.3,22.1
1/18/2014 9:00,90455,265193,30318,17.6,46.4,25.7
1/18/2014 10:00,84901,253380,30294,19.1,42.2,21.9
1/18/2014 11:00,139204,407129,46528,22.3,40.5,18.1
1/18/2014 12:00,131626,398351,43569,24.2,46.8,22.1
1/18/2014 13:00,136649,399675,44027,23.6,41.4,28.9
1/18/2014 14:00,132320,389606,45141,20.8,46.9,29.3
1/18/2014 15:00,127252,404498,43943,22.1,47.5,29.8
1/18/2014 16:00,98722,294243,32219,14.9,45.3,14.5
1/18/2014 17:00,80661,247418,27920,15.7,46,22.8
1/18/2014 18:00,100925,311132,32636,19.3,42.2,26.3
1/18/2014 19:00,73583,219298,27192,13,47.6,25.9
1/18/2014 20:00,84050,239972,28207,14.5,45,28.6
1/18/2014 21:00,47771,151300,15487,11,42.9,29.5
1/18/2014 22:00,80041,238874,25184,16.6,44.1,25.8
1/18/2014 23:00,50712,153627,18943,11,48.9,26.9
1/19/2014 0:00,44055,129783,14282,14.4,47,29.5
1/19/2014 1:00,18275,54404,6749,9.9,40.3,21
1/19/2014 2:00,5760,17267,1874,5.2,41.7,29.8
1/19/2014 3:00,582,1781,182,4.3,43,26.5
1/19/2014 4:00,1318,4113,415,5.9,43.8,20.7
1/19/2014 5:00,3724,11267,1182,7.4,44.3,22.1
1/19/2014 6:00,21053,61698,7531,7,45.3,17.8
1/19/2014 7:00,5186,15951,1512,5.3,43,21.3
1/19/2014 8:00,33992,106541,11375,10,42,19.1
1/19/2014 9:00,79910,254087,26569,18.4,47.4,29.9
1/19/2014 10:00,88848,260160,30889,18.4,42.3,26.2
1/19/2014 11:00,72489,222467,25146,14.8,40.7,29.3
1/19/2014 12:00,114673,358782,37163,19.7,44.8,27
1/19/2014 13:00,145263,452032,51818,28.6,46,19.8
