Datetime,VPH,TPH,CPU,MEM,IO,StorageGB,StorageCapacityGB
1/2/2014 3:00,1224,415,15.4,28.1,7.6,4.861418,64
1/2/2014 4:00,6470,2143,17.6,25,6,4.861622,64
1/2/2014 5:00,19928,6842,14.3,26.7,11.8,4.862275,64
1/2/2014 6:00,12860,4183,15.2,29.5,12.3,4.862674,64
1/2/2014 7:00,52899,17988,15.2,29.4,17,4.864389,64
1/2/2014 8:00,77807,26662,19.2,32.1,27.3,4.866932,64
1/2/2014 9:00,120585,37940,19.3,39.2,36.9,4.87055,64
1/2/2014 10:00,214661,67380,26.1,46,60.3,4.876976,64
1/2/2014 11:00,205834,72339,23.2,49.1,66.9,4.883875,64
1/2/2014 12:00,179164,63114,31.4,43.8,56.7,4.889894,64
1/2/2014 13:00,170520,55522,23.7,49.2,52.9,4.895189,64
1/2/2014 14:00,168021,56942,23.6,46.6,53.7,4.900619,64
1/2/2014 15:00,178840,61220,32.6,43.2,56.7,4.906458,64
1/2/2014 16:00,173890,63529,30.7,43.7,58,4.912516,64
1/2/2014 17:00,181006,62278,28.3,37.2,61.2,4.918455,64
1/2/2014 18:00,152600,52700,24.6,38.4,50.2,4.923481,64
1/2/2014 19:00,150832,59151,19,40.6,51,4.929122,64
1/2/2014 20:00,104379,39325,21.9,38.3,34.3,4.932873,64
1/2/2014 21:00,172088,58006,22.9,41.8,57.8,4.938405,64
1/2/2014 22:00,188473,55136,23.4,39.7,48.6,4.943663,64
1/2/2014 23:00,94319,33380,22.2,34.5,34.8,4.946846,64
1/3/2014 0:00,60616,17141,21.9,26.4,21.2,4.948481,64
1/3/2014 1:00,25107,8950,16.6,32.1,12.9,4.949334,64
1/3/2014 2:00,6506,2171,12.6,34.6,8.2,4.949541,64
1/3/2014 3:00,857,276,14.3,21.8,3.3,4.949568,64
1/3/2014 4:00,4456,1441,16.9,29.5,5.2,4.949705,64
1/3/2014 5:00,17153,5537,14.4,22.7,10.4,4.950233,64
1/3/2014 6:00,47202,15042,16.8,30.6,15.3,4.951668,64
1/3/2014 7:00,65844,21267,23,29.8,25.1,4.953696,64
1/3/2014 8:00,84127,26613,15.5,34.1,27.8,4.956234,64
1/3/2014 9:00,135714,46513,23.9,38.3,51,4.96067,64
1/3/2014 10:00,139235,49542,28.8,39.5,46.2,4.965394,64
1/3/2014 11:00,152544,54711,23.4,41.8,50,4.970612,64
1/3/2014 12:00,220091,69869,22.3,43.8,62.4,4.977275,64
1/3/2014 13:00,139207,45684,24.2,35.2,43.3,4.981632,64
1/3/2014 14:00,168321,52933,20,41.4,50.9,4.98668,64
1/3/2014 15:00,178464,58374,20.6,36.3,55.3,4.992247,64
1/3/2014 16:00,132326,40651,24.8,35.6,40.2,4.996124,64
1/3/2014 17:00,180347,56826,26.6,38.3,51.6,5.001543,64
1/3/2014 18:00,125436,41859,23.4,40.9,40.5,5.005535,64
1/3/2014 19:00,182602,54397,26.3,40.2,50.9,5.010723,64
1/3/2014 20:00,151197,51473,22.1,37.3,49.5,5.015632,64
1/3/2014 21:00,154122,58285,29.1,36,55.6,5.02119,64
1/3/2014 22:00,129545,45603,20.9,35.1,43.4,5.025539,64
1/3/2014 23:00,92102,31576,20.8,32.3,34,5.028551,64
1/4/2014 0:00,57535,18134,16.9,26.6,21.4,5.03028,64
1/4/2014 1:00,23330,8074,16.1,29.7,15,5.03105,64
1/4/2014 2:00,4679,1670,11.1,25.3,8.2,5.031209,64
1/4/2014 3:00,1089,383,10.9,22,9.9,5.031246,64
1/4/2014 4:00,6168,2137,20.7,25.1,9,5.03145,64
1/4/2014 5:00,17781,5792,17.7,23,8.8,5.032002,64
1/4/2014 6:00,32486,11654,20.3,34.6,13.8,5.033113,64
1/4/2014 7:00,49218,17688,18.2,32.7,23,5.0348,64
1/4/2014 8:00,90787,32574,23.8,38.7,34.4,5.037907,64
1/4/2014 9:00,97153,33258,22.1,32.7,32.9,5.041078,64
1/4/2014 10:00,168787,56045,21.3,39.4,55.6,5.046423,64
1/4/2014 11:00,149059,53694,23.3,42.2,50.6,5.051544,64
1/4/2014 12:00,174629,54759,27.9,40.1,53,5.056766,64
1/4/2014 13:00,168794,51704,27.6,40.4,49.1,5.061697,64
1/4/2014 14:00,127065,43075,22.1,32.7,46,5.065805,64
1/4/2014 15:00,135015,45213,23.8,35.3,43.9,5.070117,64
1/4/2014 16:00,118962,40874,24.2,35.1,38.6,5.074015,64
1/4/2014 17:00,131176,42305,23.8,34.4,43.7,5.078049,64
1/4/2014 18:00,123941,41588,24.2,33.4,40.1,5.082016,64
1/4/2014 19:00,102262,35741,23,35.1,37.2,5.085424,64
1/4/2014 20:00,95038,32909,21.8,32.9,38.4,5.088562,64
1/4/2014 21:00,66292,22522,17.4,33.2,21.5,5.09071,64
1/4/2014 22:00,84949,26991,19.8,36.9,25.3,5.093284,64
1/4/2014 23:00,64133,22271,11.7,29.2,25.7,5.095408,64
1/5/2014 0:00,47411,17233,23.7,30,22.5,5.097052,64
1/5/2014 1:00,20316,7294,13.9,32,15.4,5.097748,64
1/5/2014 2:00,3706,1365,13.2,28.5,13.3,5.097878,64
1/5/2014 3:00,1231,415,14.7,26.2,7.3,5.097917,64
1/5/2014 4:00,1671,537,7.6,20.1,6.7,5.097968,64
1/5/2014 5:00,1269,441,14.8,26,4.3,5.098011,64
1/5/2014 6:00,12981,4920,13.8,19.6,11.9,5.09848,64
1/5/2014 7:00,19690,6289,19.7,28.9,12.2,5.099079,64
1/5/2014 8:00,46724,16021,17.3,26.8,17.1,5.100607,64
1/5/2014 9:00,93135,31661,21.3,38.8,35.2,5.103627,64
1/5/2014 10:00,128202,42867,19.3,35.4,42.7,5.107715,64
1/5/2014 11:00,130490,43068,23.7,40.3,43.2,5.111822,64
1/5/2014 12:00,162360,57451,27.7,36.8,55.9,5.117301,64
1/5/2014 13:00,156971,53971,25.9,40.9,52.5,5.122448,64
1/5/2014 14:00,97288,34488,21.2,35.6,35.1,5.125737,64
1/5/2014 15:00,132449,47606,25.1,38.1,43.1,5.130277,64
1/5/2014 16:00,97664,33623,25.9,32.6,36.5,5.133484,64
1/5/2014 17:00,127214,43046,25.6,38,41.1,5.137589,64
1/5/2014 18:00,117407,41121,20.1,37.7,42.1,5.141511,64
1/5/2014 19:00,116644,40854,24.2,32.5,42.3,5.145407,64
1/5/2014 20:00,108970,39135,23,34.3,32.5,5.149139,64
1/5/2014 21:00,147070,43703,18.5,34.7,38.8,5.153307,64
1/5/2014 22:00,110880,34323,24,34.4,34.9,5.15658,64
1/5/2014 23:00,83487,28078,21,32.8,32.3,5.159258,64
1/6/2014 0:00,48611,16598,14.6,30.2,18.3,5.160841,64
1/6/2014 1:00,24614,8758,21.6,27,15.5,5.161676,64
1/6/2014 2:00,4559,1436,15.6,27,10.5,5.161813,64
1/6/2014 3:00,1146,417,10.6,22.5,6.1,5.161853,64
1/6/2014 4:00,8156,2462,13.7,26.3,5.1,5.162087,64
1/6/2014 5:00,20796,6831,20.5,25.9,16,5.162739,64
1/6/2014 6:00,33220,12436,15.2,32,16.1,5.163925,64
1/6/2014 7:00,62974,21677,16.6,33.6,25.5,5.165992,64
1/6/2014 8:00,116085,38872,16.7,39.6,37.9,5.169699,64
1/6/2014 9:00,187372,55453,22.5,36.5,52.7,5.174988,64
1/6/2014 10:00,203903,66652,27.3,45.8,64.6,5.181344,64
1/6/2014 11:00,212694,72586,32.1,45.9,66.9,5.188267,64
1/6/2014 12:00,207451,70437,24.9,42.4,65.8,5.194984,64
1/6/2014 13:00,209460,68504,28.9,42.4,56.7,5.201517,64
1/6/2014 14:00,201746,74214,31,50.8,66.3,5.208595,64
1/6/2014 15:00,188486,69331,30.8,45.2,64,5.215207,64
1/6/2014 16:00,185158,57783,21,42.2,53.5,5.220717,64
1/6/2014 17:00,139264,50108,25.2,35.5,52.1,5.225496,64
1/6/2014 18:00,191410,63119,26.6,44.9,57.7,5.231515,64
1/6/2014 19:00,141073,46763,23.1,39.1,43.1,5.235975,64
1/6/2014 20:00,194840,68885,28.9,41.1,59,5.242544,64
1/6/2014 21:00,203150,74558,31,43.8,70.9,5.249655,64
1/6/2014 22:00,192502,58587,26.7,41.4,51.3,5.255242,64
1/6/2014 23:00,93071,30147,23.4,33.3,31.7,5.258117,64
1/7/2014 0:00,41478,13921,15.3,29.9,13.7,5.259445,64
1/7/2014 1:00,24482,8686,17.8,31.5,13.9,5.260273,64
1/7/2014 2:00,3427,1121,17.8,23.3,6.2,5.26038,64
1/7/2014 3:00,1525,474,13.9,20.1,7.4,5.260425,64
1/7/2014 4:00,3700,1306,20.3,26.9,7.9,5.26055,64
1/7/2014 5:00,15598,5274,14.2,26.7,12.2,5.261053,64
1/7/2014 6:00,63101,20135,17.2,31.8,22.7,5.262973,64
1/7/2014 7:00,61253,20114,13.8,30,19.7,5.264891,64
1/7/2014 8:00,80449,25949,20.5,32.4,27.6,5.267366,64
1/7/2014 9:00,146715,50464,24.3,39.6,47.8,5.272178,64
1/7/2014 10:00,165866,57876,24.9,37.9,54.8,5.277698,64
1/7/2014 11:00,186450,63087,21.9,45.6,59,5.283714,64
1/7/2014 12:00,206902,69176,24.5,47.7,64.5,5.290312,64
1/7/2014 13:00,181349,64937,22.2,43.4,57.9,5.296504,64
1/7/2014 14:00,190175,64054,23.7,42.6,60.5,5.302613,64
1/7/2014 15:00,119585,38611,23.9,32.1,36.4,5.306295,64
1/7/2014 16:00,180944,61438,24.4,48.4,57.3,5.312155,64
1/7/2014 17:00,115296,34436,23.2,34.2,35,5.315439,64
1/7/2014 18:00,176417,56820,26,44.2,50.9,5.320857,64
1/7/2014 19:00,166879,52555,20.3,42.1,48.1,5.325869,64
1/7/2014 20:00,140918,52393,28.5,43.8,46.9,5.330866,64
1/7/2014 21:00,167255,53954,25.2,36.8,49.6,5.336011,64
1/7/2014 22:00,118029,39141,20,35,37.2,5.339744,64
1/7/2014 23:00,90636,28490,19.6,30,31.6,5.342461,64
1/8/2014 0:00,44134,15377,20.4,27.8,20.5,5.343928,64
1/8/2014 1:00,21829,8115,15.5,19.3,12.2,5.344702,64
1/8/2014 2:00,4371,1585,10.8,33.7,6.8,5.344853,64
1/8/2014 3:00,1109,347,13.8,22.9,7.9,5.344886,64
1/8/2014 4:00,6236,1979,20.4,28.2,11.1,5.345075,64
1/8/2014 5:00,14911,5559,19.4,23.8,13.5,5.345605,64
1/8/2014 6:00,47508,17363,20.1,31.5,20.2,5.347261,64
1/8/2014 7:00,47083,16809,20.5,31.6,19.5,5.348864,64
1/8/2014 8:00,116548,34967,17.6,35.3,31.5,5.352198,64
1/8/2014 9:00,143494,47071,22.5,41.7,44.2,5.356687,64
1/8/2014 10:00,154384,51884,19.8,41.6,51.3,5.361635,64
1/8/2014 11:00,192540,62554,27.3,45.4,58,5.367601,64
1/8/2014 12:00,126691,44212,16.1,35.8,48.2,5.371817,64
1/8/2014 13:00,160892,51441,29.7,41.7,47.1,5.376723,64
1/8/2014 14:00,204955,61808,26.8,42.1,57,5.382618,64
1/8/2014 15:00,146697,48867,20.6,37.3,48.8,5.387278,64
1/8/2014 16:00,154544,50987,26.4,37.5,49.7,5.392141,64
1/8/2014 17:00,126811,42747,21.3,39.6,40.8,5.396217,64
1/8/2014 18:00,151435,54239,17.8,45.1,52.6,5.40139,64
1/8/2014 19:00,141633,50941,20.9,28.3,48.9,5.406248,64
1/8/2014 20:00,183505,54966,22.1,36.4,53.1,5.41149,64
1/8/2014 21:00,154639,50147,27.9,39.4,50,5.416272,64
1/8/2014 22:00,151593,47591,26.5,33.9,42.5,5.420811,64
1/8/2014 23:00,70776,24449,21,33.4,30,5.423143,64
1/9/2014 0:00,48501,15776,14.8,30.2,16.8,5.424647,64
1/9/2014 1:00,24671,8701,16.8,24.5,15.3,5.425477,64
1/9/2014 2:00,5153,1614,15.5,30.2,9.4,5.425631,64
1/9/2014 3:00,945,310,16.3,27.2,4.6,5.42566,64
1/9/2014 4:00,4826,1560,18.5,28.8,9.1,5.425809,64
1/9/2014 5:00,16877,5614,14.5,23.1,13,5.426345,64
1/9/2014 6:00,38784,12505,18,28.3,15.5,5.427537,64
1/9/2014 7:00,65447,23775,20.2,24.7,27.8,5.429804,64
1/9/2014 8:00,77777,30356,17.7,36.6,29.6,5.432699,64
1/9/2014 9:00,143010,41842,22.9,42.1,44.5,5.43669,64
1/9/2014 10:00,158016,49321,24,43.9,46.2,5.441393,64
1/9/2014 11:00,150557,52080,26.6,39.3,52,5.44636,64
1/9/2014 12:00,226016,71799,22.7,49.5,67.7,5.453207,64
1/9/2014 13:00,135787,45908,19.6,36.8,43.5,5.457586,64
1/9/2014 14:00,146163,55650,26.8,45.5,51.1,5.462893,64
1/9/2014 15:00,127607,45376,19,39.6,40.7,5.46722,64
1/9/2014 16:00,102670,36126,25.9,35.4,35.9,5.470665,64
1/9/2014 17:00,134250,45902,29.1,31.1,43,5.475043,64
1/9/2014 18:00,153977,50969,21.7,42.8,51,5.479904,64
1/9/2014 19:00,159303,49599,27.1,39.2,46.2,5.484634,64
1/9/2014 20:00,153159,49886,24.7,39.8,46,5.489391,64
1/9/2014 21:00,131929,42021,21.7,36.3,41.6,5.493399,64
1/9/2014 22:00,143484,48330,22.2,41.2,45.6,5.498008,64
1/9/2014 23:00,85650,25432,22,33.1,33.2,5.500433,64
1/10/2014 0:00,52781,15932,19.9,33.5,19.7,5.501953,64
1/10/2014 1:00,25186,7934,16.2,28.6,13.9,5.502709,64
1/10/2014 2:00,4902,1793,15.5,23.5,7.3,5.50288,64
1/10/2014 3:00,1119,387,9.2,25.3,10,5.502917,64
1/10/2014 4:00,5470,1814,13.2,30.5,5.4,5.50309,64
1/10/2014 5:00,16423,5498,15.4,31.6,11.4,5.503615,64
1/10/2014 6:00,25014,8789,20.5,26.2,15.4,5.504453,64
1/10/2014 7:00,33961,10817,24.1,30.4,19.8,5.505484,64
1/10/2014 8:00,77419,25896,25.9,34.4,29.8,5.507954,64
1/10/2014 9:00,145717,47722,23.8,37.6,43.7,5.512505,64
1/10/2014 10:00,167792,54194,26.1,38.3,51.2,5.517673,64
1/10/2014 11:00,125013,38436,19.3,38,37.6,5.521339,64
1/10/2014 12:00,167061,57353,25.2,35.9,52.7,5.526809,64
1/10/2014 13:00,159055,52629,21.7,31.5,50.2,5.531828,64
1/10/2014 14:00,157833,46504,23.4,33,46.8,5.536263,64
1/10/2014 15:00,176165,54900,27.1,40.5,51.7,5.541498,64
1/10/2014 16:00,136385,45331,22.2,36.5,44.3,5.545821,64
1/10/2014 17:00,140133,45218,21.8,38.2,44.5,5.550134,64
1/10/2014 18:00,189129,56493,24.8,48.5,52.3,5.555521,64
1/10/2014 19:00,111862,38536,20.8,28.9,34.3,5.559197,64
1/10/2014 20:00,141991,48724,26.2,36,44,5.563843,64
1/10/2014 21:00,159258,48441,21.5,42.3,46.9,5.568463,64
1/10/2014 22:00,112157,38859,24.4,36.1,41,5.572169,64
1/10/2014 23:00,83649,28778,19.3,31.3,29.9,5.574913,64
1/11/2014 0:00,51109,16788,16.8,32.8,18,5.576514,64
1/11/2014 1:00,22130,7707,19.6,26.7,10.5,5.577249,64
1/11/2014 2:00,2490,868,14.6,24.9,10.1,5.577332,64
1/11/2014 3:00,628,213,12.3,24.8,6.1,5.577352,64
1/11/2014 4:00,5085,1525,11.7,26.6,8,5.577498,64
1/11/2014 5:00,13789,4752,12.3,25.5,13.4,5.577951,64
1/11/2014 6:00,30280,9559,14.2,28.9,17.8,5.578863,64
1/11/2014 7:00,53731,17665,15.2,30.5,19.2,5.580547,64
1/11/2014 8:00,68295,21386,18.3,24.5,25.6,5.582587,64
1/11/2014 9:00,93527,33043,17.7,32.5,33.1,5.585738,64
1/11/2014 10:00,172005,54726,22.2,45.7,52.2,5.590957,64
1/11/2014 11:00,128962,44946,22.3,34.3,44.5,5.595244,64
1/11/2014 12:00,199080,61592,22.4,42.7,60.3,5.601117,64
1/11/2014 13:00,81324,28642,23,27.8,26.8,5.603849,64
1/11/2014 14:00,108468,37410,15.8,36.1,36.6,5.607417,64
1/11/2014 15:00,122339,43244,24.1,40.2,40.9,5.611541,64
1/11/2014 16:00,87982,27040,19.1,31.8,32.8,5.614119,64
1/11/2014 17:00,56347,22308,18.2,30,25.3,5.616247,64
1/11/2014 18:00,130372,42259,22.5,34,39.5,5.620277,64
1/11/2014 19:00,61569,21606,17.1,25.7,29.3,5.622338,64
1/11/2014 20:00,61233,21587,17.4,27.3,24.7,5.624396,64
1/11/2014 21:00,86174,27829,23.2,32.2,32.5,5.62705,64
1/11/2014 22:00,71588,22544,24,29.5,24.9,5.6292,64
1/11/2014 23:00,56243,18799,18.6,28.9,20.8,5.630993,64
1/12/2014 0:00,42092,13963,16.6,29.9,17.1,5.632325,64
1/12/2014 1:00,20578,6446,17.6,30.8,11.3,5.632939,64
1/12/2014 2:00,3515,1199,16.2,25.9,10.9,5.633054,64
1/12/2014 3:00,1216,442,15.4,23.3,7,5.633096,64
1/12/2014 4:00,942,292,10.3,24.7,8.9,5.633124,64
1/12/2014 5:00,7954,2630,14.8,27.9,9.9,5.633374,64
1/12/2014 6:00,26229,8718,13.3,32.2,16,5.634206,64
1/12/2014 7:00,297,101,13.6,23.7,7.4,5.634215,64
1/12/2014 8:00,45292,16008,17.8,26,18.7,5.635742,64
1/12/2014 9:00,40227,12296,13.2,27.1,14.7,5.636915,64
1/12/2014 10:00,70961,24461,16.2,30,29.8,5.639247,64
1/12/2014 11:00,95780,29945,19.8,30.9,29.7,5.642103,64
1/12/2014 12:00,117072,42201,22.7,30.8,39.6,5.646128,64
1/12/2014 13:00,141612,45664,21.2,37.5,40.1,5.650483,64
1/12/2014 14:00,113570,39878,22.9,31.8,38.3,5.654286,64
1/12/2014 15:00,92534,28911,17.1,35,31.6,5.657043,64
1/12/2014 16:00,140327,44792,20.3,37.7,40.2,5.661315,64
1/12/2014 17:00,116678,39404,18.4,35.3,39.8,5.665073,64
1/12/2014 18:00,106103,37041,24.3,36.1,38.1,5.668605,64
1/12/2014 19:00,101044,37532,22,38.3,37.6,5.672184,64
1/12/2014 20:00,130367,43130,25.5,32.6,44.8,5.676298,64
1/12/2014 21:00,102652,31341,23.2,32.6,29.2,5.679286,64
1/12/2014 22:00,93569,32059,18.8,34.1,34.6,5.682344,64
1/12/2014 23:00,71449,24246,23,31.6,26.6,5.684656,64
1/13/2014 0:00,43473,13622,16.4,27,17.1,5.685955,64
1/13/2014 1:00,23011,7041,11,29.9,15,5.686627,64
1/13/2014 2:00,3857,1213,17.8,25.1,11.5,5.686742,64
1/13/2014 3:00,837,275,12.7,28.7,8.9,5.686769,64
1/13/2014 4:00,4114,1310,16.1,32.1,9.9,5.686894,64
1/13/2014 5:00,14409,4442,11.9,29.1,10.9,5.687317,64
1/13/2014 6:00,22788,7244,19.4,20.8,14,5.688008,64
1/13/2014 7:00,48014,16054,17,31,23.4,5.689539,64
1/13/2014 8:00,111306,36533,20.5,34.7,35,5.693023,64
1/13/2014 9:00,107501,39854,24.6,35.2,41,5.696824,64
1/13/2014 10:00,160944,52544,20.7,41.3,47.6,5.701835,64
1/13/2014 11:00,124611,43245,19.8,33.2,41.6,5.705959,64
1/13/2014 12:00,225832,73212,26.9,47.7,65.6,5.712941,64
1/13/2014 13:00,165785,59851,27.3,44,56.1,5.718649,64
1/13/2014 14:00,174486,56008,27.7,43.8,53.1,5.72399,64
1/13/2014 15:00,172405,57124,25.4,42.9,54.9,5.729438,64
1/13/2014 16:00,179671,61565,27.1,41.1,54.3,5.735309,64
1/13/2014 17:00,152251,53933,17.1,46.7,50.4,5.740453,64
1/13/2014 18:00,176409,60796,25.8,38.2,53,5.746251,64
1/13/2014 19:00,128448,43267,25.3,40.1,43.8,5.750377,64
1/13/2014 20:00,167127,55234,22.5,40.6,54.3,5.755645,64
1/13/2014 21:00,213801,63337,26.6,43.8,61.1,5.761685,64
1/13/2014 22:00,120438,40507,23.4,34.5,38.8,5.765548,64
1/13/2014 23:00,80593,26820,23.7,29.9,33.1,5.768106,64
1/14/2014 0:00,41625,14294,21.5,30.7,19,5.769469,64
1/14/2014 1:00,23305,7632,18.4,30.4,15.1,5.770197,64
1/14/2014 2:00,2686,863,8.9,26.2,10.6,5.770279,64
1/14/2014 3:00,879,290,19.2,19.5,3.5,5.770307,64
1/14/2014 4:00,4125,1309,12.2,24.1,6.9,5.770432,64
1/14/2014 5:00,15853,5073,17.9,29.3,11.4,5.770915,64
1/14/2014 6:00,25966,7395,15.4,27.9,11.5,5.771621,64
1/14/2014 7:00,67809,20658,17.8,28.5,28.4,5.773591,64
1/14/2014 8:00,92171,30055,19.9,27.8,30.9,5.776457,64
1/14/2014 9:00,135973,42138,17.9,35.6,42,5.780476,64
1/14/2014 10:00,157859,52867,29.4,38,52.1,5.785517,64
1/14/2014 11:00,148204,50703,23.9,36.9,46.5,5.790353,64
1/14/2014 12:00,156747,53257,24.2,46.9,49.1,5.795432,64
1/14/2014 13:00,118523,42564,21.5,33.7,45.6,5.799491,64
1/14/2014 14:00,142183,47448,19.9,37.9,43.4,5.804016,64
1/14/2014 15:00,143422,50649,20.7,46.9,49.6,5.808846,64
1/14/2014 16:00,174853,57284,24.8,34.2,54.7,5.814309,64
1/14/2014 17:00,120233,44671,24.9,34.2,42.8,5.81857,64
1/14/2014 18:00,95842,31709,23,31.2,31.8,5.821594,64
1/14/2014 19:00,157748,50399,26.3,40.2,45.2,5.8264,64
1/14/2014 20:00,139600,42896,19.6,32.7,44.5,5.830491,64
1/14/2014 21:00,149867,49951,22.9,39.1,48.4,5.835255,64
1/14/2014 22:00,111761,33267,21.1,30.6,33,5.838427,64
1/14/2014 23:00,55808,20059,22.2,30,22.8,5.84034,64
1/15/2014 0:00,50277,16616,19.5,30.7,21.3,5.841925,64
1/15/2014 1:00,22074,6920,17.8,28.5,13.8,5.842585,64
1/15/2014 2:00,1603,533,13,17.7,9.5,5.842635,64
1/15/2014 3:00,861,317,11,26.4,3.6,5.842666,64
1/15/2014 4:00,4088,1438,17.9,30.5,10,5.842803,64
1/15/2014 5:00,15886,4948,18.7,24.8,13.5,5.843275,64
1/15/2014 6:00,33995,11981,19.3,29.3,14.6,5.844417,64
1/15/2014 7:00,71835,22261,21.6,32.2,24.4,5.84654,64
1/15/2014 8:00,48642,13873,18.5,29.1,14.3,5.847863,64
1/15/2014 9:00,88605,28989,19.4,33.1,32.2,5.850628,64
1/15/2014 10:00,127891,41193,28,36,41.9,5.854556,64
1/15/2014 11:00,198983,56186,23.4,39.3,49.9,5.859915,64
1/15/2014 12:00,152092,51070,28.2,37.5,48.5,5.864785,64
1/15/2014 13:00,130530,45452,17.2,34.7,43.6,5.86912,64
1/15/2014 14:00,160070,56171,26.7,35.9,54,5.874477,64
1/15/2014 15:00,113395,39344,21.6,37.8,38.9,5.878229,64
1/15/2014 16:00,121367,42999,20.8,35.7,46.3,5.88233,64
1/15/2014 17:00,106374,38106,22.9,34.8,39.1,5.885964,64
1/15/2014 18:00,153959,49600,22.3,41,46.5,5.890694,64
1/15/2014 19:00,134396,43704,20.2,37.6,38.2,5.894862,64
1/15/2014 20:00,177713,55178,27.5,43.5,49.9,5.900124,64
1/15/2014 21:00,164906,54180,23.7,43.1,51.3,5.905291,64
1/15/2014 22:00,127517,38177,19.1,35.9,38.3,5.908932,64
1/15/2014 23:00,53169,17249,12.9,24.9,20.5,5.910577,64
1/16/2014 0:00,34656,11753,22.8,29.9,18,5.911698,64
1/16/2014 1:00,20582,7606,9.4,29.9,15.4,5.912423,64
1/16/2014 2:00,7452,2409,12.1,22.2,7.4,5.912653,64
1/16/2014 3:00,679,238,19.7,24.5,5.5,5.912675,64
1/16/2014 4:00,5668,1863,19.7,24,7.6,5.912853,64
1/16/2014 5:00,15834,5118,18.9,24.8,10.2,5.913341,64
1/16/2014 6:00,39324,12130,15,24,13.6,5.914498,64
1/16/2014 7:00,46068,15586,16.4,33.8,17.9,5.915984,64
1/16/2014 8:00,160102,46691,21.3,44.5,44.6,5.920437,64
1/16/2014 9:00,141407,42596,21.6,36.8,42.9,5.924499,64
1/16/2014 10:00,151815,50105,30.2,37.5,49.5,5.929278,64
1/16/2014 11:00,142956,56266,23.7,41.8,53.5,5.934644,64
1/16/2014 12:00,168902,55776,24.1,40.5,54.4,5.939963,64
1/16/2014 13:00,164908,49913,23.3,37.9,51,5.944723,64
1/16/2014 14:00,151042,48190,21.4,41.2,46.8,5.949319,64
1/16/2014 15:00,145123,47303,24.5,42.6,44.3,5.95383,64
1/16/2014 16:00,154798,50311,20.1,46.2,45.9,5.958628,64
1/16/2014 17:00,105599,37774,21.8,40.4,39.1,5.962231,64
1/16/2014 18:00,123783,43943,21.8,37.3,44,5.966421,64
1/16/2014 19:00,119519,49245,19.7,40,45.9,5.971118,64
1/16/2014 20:00,162601,51159,18.6,38.1,44.6,5.975997,64
1/16/2014 21:00,149613,49170,26,44.9,41.1,5.980686,64
1/16/2014 22:00,132083,41287,17,40.5,39.3,5.984623,64
1/16/2014 23:00,76188,25147,19.2,28.9,33.3,5.987021,64
1/17/2014 0:00,41568,14957,20,25.4,18.5,5.988448,64
1/17/2014 1:00,17523,7058,9.4,28.3,12.1,5.989121,64
1/17/2014 2:00,4474,1599,15.4,24.7,6.5,5.989273,64
1/17/2014 3:00,834,300,19.8,22.8,7.2,5.989302,64
1/17/2014 4:00,5413,1654,12.9,25,9.2,5.98946,64
1/17/2014 5:00,16170,5119,13.4,28.8,10.3,5.989948,64
1/17/2014 6:00,30628,10999,20,24.5,15.4,5.990997,64
1/17/2014 7:00,39958,12559,15.8,30.6,16,5.992195,64
1/17/2014 8:00,86394,30169,20.5,34.7,34.2,5.995072,64
1/17/2014 9:00,104663,33318,20.3,33.6,34.1,5.998249,64
